,date,number,keyword,Province_State,Confirmed,Death,week_x,new_case,new_death
76799,2020-03-01,0.0,walgreens covid test,New Jersey,0,0,2020-08,0,0
76839,2020-03-08,0.0,walgreens covid test,New Jersey,8,0,2020-09,320,0
76879,2020-03-15,0.0,walgreens covid test,New Jersey,195,5,2020-10,7480,200
76919,2020-03-22,0.0,walgreens covid test,New Jersey,3853,66,2020-11,146320,2440
76959,2020-03-29,0.0,walgreens covid test,New Jersey,39660,652,2020-12,1432280,23440
76999,2020-04-05,0.0,walgreens covid test,New Jersey,160582,3886,2020-13,4836880,129360
77039,2020-04-12,0.0,walgreens covid test,New Jersey,334214,13762,2020-14,6945280,395040
77079,2020-04-19,1.0,walgreens covid test,New Jersey,501492,28685,2020-15,6691120,596920
77119,2020-04-26,0.0,walgreens covid test,New Jersey,670043,44554,2020-16,6742040,634760
77159,2020-05-03,0.0,walgreens covid test,New Jersey,814037,58072,2020-17,5759760,540720
77199,2020-05-10,0.0,walgreens covid test,New Jersey,925015,70925,2020-18,4439120,514120
77239,2020-05-17,0.0,walgreens covid test,New Jersey,993992,80316,2020-19,2759080,375640
77279,2020-05-24,1.0,walgreens covid test,New Jersey,1053566,87448,2020-20,2382960,285280
77319,2020-05-31,0.0,walgreens covid test,New Jersey,1099243,92018,2020-21,1827080,182800
77359,2020-06-07,0.0,walgreens covid test,New Jersey,1137340,96011,2020-22,1523880,159720
77399,2020-06-14,0.0,walgreens covid test,New Jersey,1160758,99551,2020-23,936720,141600
77439,2020-06-21,0.0,walgreens covid test,New Jersey,1178876,102701,2020-24,724720,126000
77479,2020-06-28,1.0,walgreens covid test,New Jersey,1195369,104213,2020-25,659720,60480
77519,2020-07-05,0.0,walgreens covid test,New Jersey,1211204,105540,2020-26,633400,53080
77559,2020-07-12,1.0,walgreens covid test,New Jersey,1227530,107505,2020-27,653040,78600
77599,2020-07-19,0.0,walgreens covid test,New Jersey,1243910,109349,2020-28,655200,73760
77639,2020-07-26,1.0,walgreens covid test,New Jersey,1256972,110136,2020-29,522480,31480
77679,2020-08-02,0.0,walgreens covid test,New Jersey,1280095,110672,2020-30,924920,21440
77719,2020-08-09,1.0,walgreens covid test,New Jersey,1300852,110948,2020-31,830280,11040
77759,2020-08-16,0.0,walgreens covid test,New Jersey,1321736,111233,2020-32,835360,11400
77799,2020-08-23,0.0,walgreens covid test,New Jersey,1339789,111495,2020-33,722120,10480
77839,2020-08-30,0.0,walgreens covid test,New Jersey,1355819,111543,2020-34,641200,1920
77879,2020-09-06,0.0,walgreens covid test,New Jersey,1374047,111730,2020-35,729120,7480
77919,2020-09-13,0.0,walgreens covid test,New Jersey,1393584,112048,2020-36,781480,12720
77959,2020-09-20,0.0,walgreens covid test,New Jersey,1415644,112344,2020-37,882400,11840
77999,2020-09-27,0.0,walgreens covid test,New Jersey,1441079,112585,2020-38,1017400,9640
78039,2020-10-04,0.0,walgreens covid test,New Jersey,1475234,112858,2020-39,1366200,10920
78079,2020-10-11,3.0,walgreens covid test,New Jersey,1514571,113069,2020-40,1573480,8440
78119,2020-10-18,2.0,walgreens covid test,New Jersey,1561787,113325,2020-41,1888640,10240
78159,2020-10-25,2.0,walgreens covid test,New Jersey,1623917,113714,2020-42,2485200,15560
78199,2020-11-01,5.0,walgreens covid test,New Jersey,1708437,114228,2020-43,3380800,20560
78239,2020-11-08,3.0,walgreens covid test,New Jersey,1818919,114717,2020-44,4419280,19560
78279,2020-11-15,3.0,walgreens covid test,New Jersey,1977827,115371,2020-45,6356320,26160
78319,2020-11-22,6.0,walgreens covid test,New Jersey,2190531,116566,2020-46,8508160,47800
78359,2020-11-29,4.0,walgreens covid test,New Jersey,2417394,118070,2020-47,9074520,60160
78399,2020-12-06,4.0,walgreens covid test,New Jersey,2655611,119969,2020-48,9528680,75960
78439,2020-12-13,3.0,walgreens covid test,New Jersey,2932730,122627,2020-49,11084760,106320
78479,2020-12-20,3.0,walgreens covid test,New Jersey,3193164,125778,2020-50,10417360,126040
78519,2020-12-27,0.0,walgreens covid test,New Jersey,3440123,128961,2020-51,9878360,127320
78559,2021-01-10,1.0,walgreens covid test,New Jersey,3925857,136594,2021-01,19429360,305320
78599,2021-01-17,3.0,walgreens covid test,New Jersey,4220210,140803,2021-02,11774120,168360
78639,2021-01-24,1.0,walgreens covid test,New Jersey,4489251,144642,2021-03,10761640,153560
78679,2021-01-31,3.0,walgreens covid test,New Jersey,4739172,148387,2021-04,9996840,149800
78719,2021-02-07,8.0,walgreens covid test,New Jersey,4946733,151917,2021-05,8302440,141200
78759,2021-02-14,3.0,walgreens covid test,New Jersey,5128084,155515,2021-06,7254040,143920
78799,2021-02-21,4.0,walgreens covid test,New Jersey,5283982,158388,2021-07,6235920,114920
78839,2021-02-28,1.0,walgreens covid test,New Jersey,5431930,161364,2021-08,5917920,119040
78879,2021-03-07,2.0,walgreens covid test,New Jersey,5596242,163864,2021-09,6572480,100000
78919,2021-03-14,0.0,walgreens covid test,New Jersey,5761244,166123,2021-10,6600080,90360
78959,2021-03-21,3.0,walgreens covid test,New Jersey,5945246,168152,2021-11,7360080,81160
78999,2021-03-28,1.0,walgreens covid test,New Jersey,6148205,169959,2021-12,8118360,72280
79039,2021-04-04,1.0,walgreens covid test,New Jersey,6367654,171678,2021-13,8777960,68760
79079,2021-04-11,4.0,walgreens covid test,New Jersey,6567854,173203,2021-14,8008000,61000
79119,2021-04-18,2.0,walgreens covid test,New Jersey,6747781,174998,2021-15,7197080,71800
79159,2021-04-25,1.0,walgreens covid test,New Jersey,6911305,176777,2021-16,6540960,71160
79199,2021-05-02,6.0,walgreens covid test,New Jersey,6962310,178419,2021-17,2040200,65680
79239,2021-05-09,0.0,walgreens covid test,New Jersey,7028794,179881,2021-18,2659360,58480
79279,2021-05-16,3.0,walgreens covid test,New Jersey,7063495,181124,2021-19,1388040,49720
79319,2021-05-23,3.0,walgreens covid test,New Jersey,7085766,182171,2021-20,890840,41880
79359,2021-05-30,8.0,walgreens covid test,New Jersey,7104722,183033,2021-21,758240,34480
79399,2021-06-06,6.0,walgreens covid test,New Jersey,7117577,183676,2021-22,514200,25720
79439,2021-06-13,1.0,walgreens covid test,New Jersey,7129861,184135,2021-23,491360,18360
79479,2021-06-20,3.0,walgreens covid test,New Jersey,7142158,184470,2021-24,491880,13400
79519,2021-06-27,2.0,walgreens covid test,New Jersey,7153083,184831,2021-25,437000,14440
79559,2021-07-04,0.0,walgreens covid test,New Jersey,7164051,185177,2021-26,438720,13840
79599,2021-07-11,9.0,walgreens covid test,New Jersey,7174093,185407,2021-27,401680,9200
79639,2021-07-18,14.0,walgreens covid test,New Jersey,7189937,185653,2021-28,633760,9840
79679,2021-07-25,24.0,walgreens covid test,New Jersey,7215392,185908,2021-29,1018200,10200
79719,2021-08-01,24.0,walgreens covid test,New Jersey,7253523,186116,2021-30,1525240,8320
79759,2021-08-08,33.0,walgreens covid test,New Jersey,7307349,186362,2021-31,2153040,9840
79799,2021-08-15,38.0,walgreens covid test,New Jersey,7376423,186669,2021-32,2762960,12280
79839,2021-08-22,29.0,walgreens covid test,New Jersey,7464279,187047,2021-33,3514240,15120
79879,2021-08-29,19.0,walgreens covid test,New Jersey,7560903,187555,2021-34,3864960,20320
79919,2021-09-05,17.0,walgreens covid test,New Jersey,7660474,188287,2021-35,3982840,29280
79959,2021-09-12,12.0,walgreens covid test,New Jersey,7759336,189002,2021-36,3954480,28600
79999,2021-09-19,2.0,walgreens covid test,New Jersey,7867347,189855,2021-37,4320440,34120
80039,2021-09-26,6.0,walgreens covid test,New Jersey,7976025,190814,2021-38,4347120,38360
80079,2021-10-03,8.0,walgreens covid test,New Jersey,8067037,191789,2021-39,3640480,39000
80119,2021-10-10,18.0,walgreens covid test,New Jersey,8152309,192738,2021-40,3410880,37960
80159,2021-10-17,8.0,walgreens covid test,New Jersey,8231061,193562,2021-41,3150080,32960
80199,2021-10-24,10.0,walgreens covid test,New Jersey,8293160,194494,2021-42,2483960,37280
80239,2021-10-31,11.0,walgreens covid test,New Jersey,8354388,195421,2021-43,2449120,37080
80279,2021-11-07,8.0,walgreens covid test,New Jersey,8417297,196120,2021-44,2516360,27960
80319,2021-11-14,5.0,walgreens covid test,New Jersey,8482016,196897,2021-45,2588760,31080
80359,2021-11-21,3.0,walgreens covid test,New Jersey,8567597,197492,2021-46,3423240,23800
80399,2021-11-28,9.0,walgreens covid test,New Jersey,8669897,198105,2021-47,4092000,24520
80439,2021-12-05,10.0,walgreens covid test,New Jersey,8799670,198792,2021-48,5190920,27480
80479,2021-12-12,5.0,walgreens covid test,New Jersey,8996185,199571,2021-49,7860600,31160
80519,2021-12-19,37.0,walgreens covid test,New Jersey,9229823,200463,2021-50,9345520,35680
80559,2021-12-26,100.0,walgreens covid test,New Jersey,9664412,201520,2021-51,17383560,42280
80599,2022-01-09,64.0,walgreens covid test,New Jersey,11995754,204622,2022-01,93253680,124080
80639,2022-01-16,42.0,walgreens covid test,New Jersey,13398315,208212,2022-02,56102440,143600
80679,2022-01-23,21.0,walgreens covid test,New Jersey,14184035,212533,2022-03,31428800,172840
80719,2022-01-30,12.0,walgreens covid test,New Jersey,14605813,217520,2022-04,16871120,199480
80759,2022-02-06,10.0,walgreens covid test,New Jersey,14834870,221659,2022-05,9162280,165560
80799,2022-02-13,5.0,walgreens covid test,New Jersey,14959400,225187,2022-06,4981200,141120
