,state,keyword,corr_case,corr_death
0,Alabama, Election results,-0.011174587501638075,-0.0526496914669648
1,Alaska, Election results,0.008729870715448458,-0.02923134867983718
2,Arizona, Election results,-0.04888696368394104,-0.08534600702801944
3,Arkansas, Election results,-0.00886078461265165,0.0290415243245963
4,California, Election results,-0.04101832980691038,-0.06020271765232738
5,Colorado, Election results,0.00039220601455801764,-0.05139869683533204
6,Connecticut, Election results,-0.022807178925906328,-0.05107695964934007
7,Delaware, Election results,-0.04278895204231707,-0.003960552659817928
8,Georgia, Election results,-0.038986056129159334,-0.057949922087233034
9,Hawaii, Election results,-0.03374100756700239,0.017147019798240272
10,Idaho, Election results,0.0688073741782232,0.030834324177796472
11,Indiana, Election results,0.006686821443540476,0.0169130647565394
12,Iowa, Election results,0.06329645990496255,0.01802942291740397
13,Kansas, Election results,0.004458002046764272,0.0010859502719911044
14,Louisiana, Election results,-0.04738048695233248,-0.06015894211917941
15,Maine, Election results,-0.0734312018680975,-0.0952062646508243
16,Montana, Election results,0.11569215952590277,0.1349876870825566
17,Nebraska, Election results,0.05205924978223784,0.03491691895233286
18,New Hampshire, Election results,-0.05435679878115043,-0.06447358401966945
19,New Jersey, Election results,-0.02382226232868387,-0.06290135862047178
20,New Mexico, Election results,0.00869291543309956,-0.03445280192776114
21,Maryland, Election results,-0.027593398385476815,-0.06771202855088619
22,Massachusetts, Election results,-0.03288763597981891,-0.04021141639138743
23,Michigan, Election results,-0.012240139166726845,-0.049472626307594324
24,North Carolina, Election results,-0.028808007934222835,0.005634855096419794
25,North Dakota, Election results,0.1538465323778219,0.18869095179387066
26,Ohio, Election results,-0.022220808836057353,-0.028569836543443687
27,Oklahoma, Election results,-0.012330216329278306,-0.013719410666770269
28,Mississippi, Election results,-0.026667374679800116,-0.03531840867145132
29,Missouri, Election results,0.016385300326498337,0.025838699944258425
30,Pennsylvania, Election results,-0.03689173986884526,-0.06465958299339525
31,South Carolina, Election results,-0.040499862122440104,-0.013039966191593817
32,South Dakota, Election results,0.18313695563892116,0.09248079966778493
33,Tennessee, Election results,-0.00564265284218177,0.008738076946480417
34,Utah, Election results,0.02277675851353863,-0.03213644788735791
35,Vermont, Election results,-0.05033750299493661,-0.09845820783779329
36,Virginia, Election results,-0.03779121823920186,-0.04050247199978187
37,Washington, Election results,-0.040042414750343196,-0.062023509196792684
38,Wisconsin, Election results,0.08775160466789665,0.15155367226471997
39,Wyoming, Election results,0.060750653961009475,0.009818692523901837
40,Minnesota, Election results,0.006628905752919054,0.005847766492715189
41,Texas, Election results,-0.03090078889336142,-0.0422496675792185
42,West Virginia, Election results,-0.0408219017582829,-0.05590285987482119
43,Rhode Island, Election results,-0.012542169711552212,-0.03443349845553323
44,Oregon, Election results,-0.03967109372836261,-0.059256535679785644
45,New York, Election results,-0.04076750853743175,-0.058420501843964905
46,Nevada, Election results,-0.010374516419535799,-0.08308150384844869
47,Illinois, Election results,0.022566855690719367,-0.010691505104845957
48,Florida, Election results,-0.04062769473630744,-0.05899181239312669
49,Kentucky, Election results,-0.01108324307660827,-0.0476491375358539
50,Alabama, Coronavirus,-0.2278186975236383,-0.26108679618034353
51,Alaska, Coronavirus,-0.25809323039335114,-0.25465791507243807
52,Arizona, Coronavirus,-0.23824938159147566,-0.2903372104758108
53,Arkansas, Coronavirus,-0.23059782235936874,-0.3183595316673905
54,California, Coronavirus,-0.19270676049155475,-0.25622403502200214
55,Colorado, Coronavirus,-0.23516851608041422,-0.2050616577153966
56,Connecticut, Coronavirus,-0.1643335582487983,0.05756872624355042
57,Delaware, Coronavirus,-0.20780859332464285,-0.16350664525861502
58,Georgia, Coronavirus,-0.24116268485906625,-0.3762200230166326
59,Hawaii, Coronavirus,-0.16175046697633347,-0.33354072456571016
60,Idaho, Coronavirus,-0.3113460640219364,-0.32357073055945595
61,Indiana, Coronavirus,-0.24789001791653473,-0.21915046272617264
62,Iowa, Coronavirus,-0.28054113139762893,-0.2662606443488601
63,Kansas, Coronavirus,-0.22781468626238563,-0.25418631495205335
64,Louisiana, Coronavirus,-0.18195688043099298,-0.10759894891583027
65,Maine, Coronavirus,-0.31485417758747436,-0.2735142172452113
66,Montana, Coronavirus,-0.30908865569352967,-0.3485343526897215
67,Nebraska, Coronavirus,-0.2666247288783003,-0.22414437258674072
68,New Hampshire, Coronavirus,-0.23399138207767203,-0.21934307451307505
69,New Jersey, Coronavirus,-0.12243673479144196,0.13582543776520686
70,New Mexico, Coronavirus,-0.23795809832190126,-0.28388461235800383
71,Maryland, Coronavirus,-0.16146237130471147,-0.16025066664859397
72,Massachusetts, Coronavirus,-0.1595795234521198,-0.0009270352418065855
73,Michigan, Coronavirus,-0.2579863107231735,-0.1069625285913379
74,North Carolina, Coronavirus,-0.23149109214406238,-0.37828699301515306
75,North Dakota, Coronavirus,-0.2561863900793037,-0.22031708925172022
76,Ohio, Coronavirus,-0.24894800371622658,-0.255303918365676
77,Oklahoma, Coronavirus,-0.2494883865534575,-0.2771597685515142
78,Mississippi, Coronavirus,-0.23493441212853122,-0.2954575983211704
79,Missouri, Coronavirus,-0.26912552644857224,-0.26498089432862404
80,Pennsylvania, Coronavirus,-0.2388540873919411,-0.20229083111646629
81,South Carolina, Coronavirus,-0.23272532780549585,-0.3342876313816363
82,South Dakota, Coronavirus,-0.25376949221259804,-0.21490452291652704
83,Tennessee, Coronavirus,-0.24158292210348978,-0.25923522590070724
84,Utah, Coronavirus,-0.24543733694499775,-0.43513026865154303
85,Vermont, Coronavirus,-0.21094244958377645,-0.19172749089188906
86,Virginia, Coronavirus,-0.22414119829528895,-0.25004462569295355
87,Washington, Coronavirus,-0.21201657073418925,-0.22553514447623363
88,Wisconsin, Coronavirus,-0.22165625990852617,-0.28265791820588887
89,Wyoming, Coronavirus,-0.28502141106717144,-0.30549761885254795
90,Minnesota, Coronavirus,-0.27277155555312005,-0.26938988643308126
91,Texas, Coronavirus,-0.2561756721670488,-0.3950939233005851
92,West Virginia, Coronavirus,-0.26268610459215364,-0.32083198383951533
93,Rhode Island, Coronavirus,-0.17995121512653928,-0.0576723667322344
94,Oregon, Coronavirus,-0.24090918592477964,-0.37045373566356665
95,New York, Coronavirus,-0.1270439356779922,0.25041219844597445
96,Nevada, Coronavirus,-0.23950644326269432,-0.3508817797543629
97,Illinois, Coronavirus,-0.2091063844719442,-0.15100665019117906
98,Florida, Coronavirus,-0.2212924572059103,-0.37101829009892756
99,Kentucky, Coronavirus,-0.2642936490362491,-0.36362310085835364
100,Alabama, Kobe Bryant,-0.0519332828534794,-0.0825752321830094
101,Alaska, Kobe Bryant,-0.05724448449755484,-0.20213994010256578
102,Arizona, Kobe Bryant,0.00012059202523389672,0.002694409776331669
103,Arkansas, Kobe Bryant,-0.06295107192922307,-0.061807229495050936
104,California, Kobe Bryant,0.06661479320176392,0.08900001204432266
105,Colorado, Kobe Bryant,-0.05631588742329244,-0.04292999095462775
106,Connecticut, Kobe Bryant,0.005776773553748854,0.17536015522917328
107,Delaware, Kobe Bryant,0.07687598676333718,0.08686214207112375
108,Georgia, Kobe Bryant,-0.024494592922988934,-0.08110218809262495
109,Hawaii, Kobe Bryant,-0.12259842434282056,-0.22644002922658438
110,Idaho, Kobe Bryant,-0.18220850628831511,-0.16296743465608413
111,Indiana, Kobe Bryant,-0.08569716143427125,-0.0514348261683008
112,Iowa, Kobe Bryant,-0.12866768285027702,-0.06526471630845454
113,Kansas, Kobe Bryant,-0.065813528004777,-0.04111171837343389
114,Louisiana, Kobe Bryant,-0.052007664659669155,0.023131470097183242
115,Maine, Kobe Bryant,-0.10747581172964288,0.027883142185116602
116,Montana, Kobe Bryant,-0.22572338052544438,-0.2624013213601142
117,Nebraska, Kobe Bryant,-0.08804457741838129,-0.11453445138886298
118,New Hampshire, Kobe Bryant,-0.09166957989481704,-0.009766751502899417
119,New Jersey, Kobe Bryant,-0.03677354180649654,0.1211749555842745
120,New Mexico, Kobe Bryant,-0.0497553525263899,0.012821559508108225
121,Maryland, Kobe Bryant,-0.015840169981588197,0.09645445319773092
122,Massachusetts, Kobe Bryant,-0.021749228623876626,0.12776502697271933
123,Michigan, Kobe Bryant,-0.18248472557513276,-0.09468231893704038
124,North Carolina, Kobe Bryant,-0.10906076194230364,-0.18109548830377661
125,North Dakota, Kobe Bryant,-0.12824249241412364,-0.10239357906735745
126,Ohio, Kobe Bryant,-0.01110644505707656,0.04191679915837081
127,Oklahoma, Kobe Bryant,-0.003711568538275695,-0.15579809537561462
128,Mississippi, Kobe Bryant,-0.001212253270111078,-0.03293447077474488
129,Missouri, Kobe Bryant,0.00855019187143192,-0.06101683153547005
130,Pennsylvania, Kobe Bryant,-0.04426746348191556,0.08426923582361764
131,South Carolina, Kobe Bryant,-0.06292402605891553,-0.09936518745188623
132,South Dakota, Kobe Bryant,-0.09903691137538068,-0.026475013163565164
133,Tennessee, Kobe Bryant,-0.05475659100798705,-0.043572631057488986
134,Utah, Kobe Bryant,0.0018176822076253402,-0.10130969893018726
135,Vermont, Kobe Bryant,-0.03154113029181344,-0.04181332579814804
136,Virginia, Kobe Bryant,-0.004505771107225951,-0.056637117700382475
137,Washington, Kobe Bryant,-0.07301491718695871,-0.11730264289704226
138,Wisconsin, Kobe Bryant,-0.08485219827053983,-0.10515989090875599
139,Wyoming, Kobe Bryant,-0.07194488895069988,-0.0461218572894354
140,Minnesota, Kobe Bryant,-0.1557407115654545,-0.03968181699259534
141,Texas, Kobe Bryant,0.008255297396836518,-0.072813703001378
142,West Virginia, Kobe Bryant,-0.019213647502611602,-0.0124988438366239
143,Rhode Island, Kobe Bryant,0.053927237338005925,0.15268624274521544
144,Oregon, Kobe Bryant,-0.08405970481036666,-0.1861380260660545
145,New York, Kobe Bryant,-0.047209614211081635,0.1667200503982369
146,Nevada, Kobe Bryant,-0.03552999896484942,-0.018132194618997507
147,Illinois, Kobe Bryant,-0.06253453238934041,0.03481491891915607
148,Florida, Kobe Bryant,-0.085019133929036,-0.13454443932520235
149,Kentucky, Kobe Bryant,-0.09585043607915918,-0.2098884962103197
