,Province_State,week,Confirmed,Date_Time
0,Alabama,2020-03,0,2020-01-26
1,Alabama,2020-04,0,2020-02-02
2,Alabama,2020-05,0,2020-02-09
3,Alabama,2020-06,0,2020-02-16
4,Alabama,2020-07,0,2020-02-23
5,Alabama,2020-08,0,2020-03-01
6,Alabama,2020-09,0,2020-03-08
7,Alabama,2020-10,30,2020-03-15
8,Alabama,2020-11,528,2020-03-22
9,Alabama,2020-12,3233,2020-03-29
10,Alabama,2020-13,8823,2020-04-05
11,Alabama,2020-14,18318,2020-04-12
12,Alabama,2020-15,29695,2020-04-19
13,Alabama,2020-16,39502,2020-04-26
14,Alabama,2020-17,49222,2020-05-03
15,Alabama,2020-18,61741,2020-05-10
16,Alabama,2020-19,76115,2020-05-17
17,Alabama,2020-20,92458,2020-05-24
18,Alabama,2020-21,113847,2020-05-31
19,Alabama,2020-22,133940,2020-06-07
20,Alabama,2020-23,159677,2020-06-14
21,Alabama,2020-24,195226,2020-06-21
22,Alabama,2020-25,229526,2020-06-28
23,Alabama,2020-26,279027,2020-07-05
24,Alabama,2020-27,337277,2020-07-12
25,Alabama,2020-28,421888,2020-07-19
26,Alabama,2020-29,509831,2020-07-26
27,Alabama,2020-30,593783,2020-08-02
28,Alabama,2020-31,668533,2020-08-09
29,Alabama,2020-32,729559,2020-08-16
30,Alabama,2020-33,780628,2020-08-23
31,Alabama,2020-34,837699,2020-08-30
32,Alabama,2020-35,897430,2020-09-06
33,Alabama,2020-36,939388,2020-09-13
34,Alabama,2020-37,984363,2020-09-20
35,Alabama,2020-38,1032750,2020-09-27
36,Alabama,2020-39,1083620,2020-10-04
37,Alabama,2020-40,1131041,2020-10-11
38,Alabama,2020-41,1181083,2020-10-18
39,Alabama,2020-42,1245730,2020-10-25
40,Alabama,2020-43,1322361,2020-11-01
41,Alabama,2020-44,1392758,2020-11-08
42,Alabama,2020-45,1466484,2020-11-15
43,Alabama,2020-46,1566379,2020-11-22
44,Alabama,2020-47,1672593,2020-11-29
45,Alabama,2020-48,1798628,2020-12-06
46,Alabama,2020-49,1965496,2020-12-13
47,Alabama,2020-50,2146621,2020-12-20
48,Alabama,2020-51,2336349,2020-12-27
49,Alabama,2020-52,1763375,2021-01-03
50,Alabama,2021-00,735205,2021-01-03
51,Alabama,2021-01,2692473,2021-01-10
52,Alabama,2021-02,2877535,2021-01-17
53,Alabama,2021-03,3010889,2021-01-24
54,Alabama,2021-04,3143072,2021-01-31
55,Alabama,2021-05,3256946,2021-02-07
56,Alabama,2021-06,3332597,2021-02-14
57,Alabama,2021-07,3383754,2021-02-21
58,Alabama,2021-08,3429198,2021-02-28
59,Alabama,2021-09,3474970,2021-03-07
60,Alabama,2021-10,3510204,2021-03-14
61,Alabama,2021-11,3561809,2021-03-21
62,Alabama,2021-12,3588529,2021-03-28
63,Alabama,2021-13,3608125,2021-04-04
64,Alabama,2021-14,3623031,2021-04-11
65,Alabama,2021-15,3644208,2021-04-18
66,Alabama,2021-16,3669659,2021-04-25
67,Alabama,2021-17,3690013,2021-05-02
68,Alabama,2021-18,3706691,2021-05-09
69,Alabama,2021-19,3735774,2021-05-16
70,Alabama,2021-20,3786675,2021-05-23
71,Alabama,2021-21,3799760,2021-05-30
72,Alabama,2021-22,3811651,2021-06-06
73,Alabama,2021-23,3827075,2021-06-13
74,Alabama,2021-24,3837319,2021-06-20
75,Alabama,2021-25,3845339,2021-06-27
76,Alabama,2021-26,3855398,2021-07-04
77,Alabama,2021-27,3868392,2021-07-11
78,Alabama,2021-28,3897281,2021-07-18
79,Alabama,2021-29,3949260,2021-07-25
80,Alabama,2021-30,4035470,2021-08-01
81,Alabama,2021-31,4174908,2021-08-08
82,Alabama,2021-32,4334677,2021-08-15
83,Alabama,2021-33,4522528,2021-08-22
84,Alabama,2021-34,4706665,2021-08-29
85,Alabama,2021-35,4933995,2021-09-05
86,Alabama,2021-36,5129969,2021-09-12
87,Alabama,2021-37,5305044,2021-09-19
88,Alabama,2021-38,5450602,2021-09-26
89,Alabama,2021-39,5561702,2021-10-03
90,Alabama,2021-40,5628896,2021-10-10
91,Alabama,2021-41,5674443,2021-10-17
92,Alabama,2021-42,5715004,2021-10-24
93,Alabama,2021-43,5783833,2021-10-31
94,Alabama,2021-44,5836292,2021-11-07
95,Alabama,2021-45,5863351,2021-11-14
96,Alabama,2021-46,5887209,2021-11-21
97,Alabama,2021-47,5908184,2021-11-28
98,Alabama,2021-48,5925310,2021-12-05
99,Alabama,2021-49,5950614,2021-12-12
100,Alabama,2021-50,5983543,2021-12-19
101,Alabama,2021-51,6033891,2021-12-26
102,Alabama,2021-52,5279391,2022-01-02
103,Alabama,2022-00,896614,2022-01-02
104,Alabama,2022-01,6545473,2022-01-09
105,Alabama,2022-02,6975420,2022-01-16
106,Alabama,2022-03,7643272,2022-01-23
107,Alabama,2022-04,8170435,2022-01-30
108,Alabama,2022-05,8596467,2022-02-06
109,Alabama,2022-06,8771054,2022-02-13
110,Alabama,2022-07,8874785,2022-02-20
111,Alabama,2022-08,8929477,2022-02-27
112,Alabama,2022-09,7686207,2022-03-06
113,Alaska,2020-03,0,2020-01-26
114,Alaska,2020-04,0,2020-02-02
115,Alaska,2020-05,0,2020-02-09
116,Alaska,2020-06,0,2020-02-16
117,Alaska,2020-07,0,2020-02-23
118,Alaska,2020-08,0,2020-03-01
119,Alaska,2020-09,0,2020-03-08
120,Alaska,2020-10,2,2020-03-15
121,Alaska,2020-11,58,2020-03-22
122,Alaska,2020-12,389,2020-03-29
123,Alaska,2020-13,984,2020-04-05
124,Alaska,2020-14,1571,2020-04-12
125,Alaska,2020-15,2081,2020-04-19
126,Alaska,2020-16,2354,2020-04-26
127,Alaska,2020-17,2511,2020-05-03
128,Alaska,2020-18,2650,2020-05-10
129,Alaska,2020-19,2752,2020-05-17
130,Alaska,2020-20,2904,2020-05-24
131,Alaska,2020-21,3059,2020-05-31
132,Alaska,2020-22,3746,2020-06-07
133,Alaska,2020-23,4589,2020-06-14
134,Alaska,2020-24,5532,2020-06-21
135,Alaska,2020-25,6641,2020-06-28
136,Alaska,2020-26,8373,2020-07-05
137,Alaska,2020-27,10524,2020-07-12
138,Alaska,2020-28,13869,2020-07-19
139,Alaska,2020-29,18370,2020-07-26
140,Alaska,2020-30,24466,2020-08-02
141,Alaska,2020-31,29504,2020-08-09
142,Alaska,2020-32,33207,2020-08-16
143,Alaska,2020-33,37202,2020-08-23
144,Alaska,2020-34,40760,2020-08-30
145,Alaska,2020-35,44228,2020-09-06
