,Province_State,week,Death,Date_Time
0,Alabama,2020-03,0,2020-01-26
1,Alabama,2020-04,0,2020-02-02
2,Alabama,2020-05,0,2020-02-09
3,Alabama,2020-06,0,2020-02-16
4,Alabama,2020-07,0,2020-02-23
5,Alabama,2020-08,0,2020-03-01
6,Alabama,2020-09,0,2020-03-08
7,Alabama,2020-10,0,2020-03-15
8,Alabama,2020-11,0,2020-03-22
9,Alabama,2020-12,10,2020-03-29
10,Alabama,2020-13,184,2020-04-05
11,Alabama,2020-14,466,2020-04-12
12,Alabama,2020-15,858,2020-04-19
13,Alabama,2020-16,1319,2020-04-26
14,Alabama,2020-17,1794,2020-05-03
15,Alabama,2020-18,2388,2020-05-10
16,Alabama,2020-19,3122,2020-05-17
17,Alabama,2020-20,3622,2020-05-24
18,Alabama,2020-21,4099,2020-05-31
19,Alabama,2020-22,4600,2020-06-07
20,Alabama,2020-23,5180,2020-06-14
21,Alabama,2020-24,5592,2020-06-21
22,Alabama,2020-25,6157,2020-06-28
23,Alabama,2020-26,6768,2020-07-05
24,Alabama,2020-27,7391,2020-07-12
25,Alabama,2020-28,8401,2020-07-19
26,Alabama,2020-29,9536,2020-07-26
27,Alabama,2020-30,10741,2020-08-02
28,Alabama,2020-31,11825,2020-08-09
29,Alabama,2020-32,12973,2020-08-16
30,Alabama,2020-33,13684,2020-08-23
31,Alabama,2020-34,14454,2020-08-30
32,Alabama,2020-35,15535,2020-09-06
33,Alabama,2020-36,16098,2020-09-13
34,Alabama,2020-37,16751,2020-09-20
35,Alabama,2020-38,17319,2020-09-27
36,Alabama,2020-39,17715,2020-10-04
37,Alabama,2020-40,18252,2020-10-11
38,Alabama,2020-41,19030,2020-10-18
39,Alabama,2020-42,19778,2020-10-25
40,Alabama,2020-43,20348,2020-11-01
41,Alabama,2020-44,21096,2020-11-08
42,Alabama,2020-45,22179,2020-11-15
43,Alabama,2020-46,23472,2020-11-22
44,Alabama,2020-47,24636,2020-11-29
45,Alabama,2020-48,25988,2020-12-06
46,Alabama,2020-49,27930,2020-12-13
47,Alabama,2020-50,29465,2020-12-20
48,Alabama,2020-51,31858,2020-12-27
49,Alabama,2020-52,23741,2021-01-03
50,Alabama,2021-00,9744,2021-01-03
51,Alabama,2021-01,35201,2021-01-10
52,Alabama,2021-02,40108,2021-01-17
53,Alabama,2021-03,44172,2021-01-24
54,Alabama,2021-04,49862,2021-01-31
55,Alabama,2021-05,56800,2021-02-07
56,Alabama,2021-06,61948,2021-02-14
57,Alabama,2021-07,65676,2021-02-21
58,Alabama,2021-08,68218,2021-02-28
59,Alabama,2021-09,70245,2021-03-07
60,Alabama,2021-10,71604,2021-03-14
61,Alabama,2021-11,72608,2021-03-21
62,Alabama,2021-12,73362,2021-03-28
63,Alabama,2021-13,73930,2021-04-04
64,Alabama,2021-14,74652,2021-04-11
65,Alabama,2021-15,75139,2021-04-18
66,Alabama,2021-16,75700,2021-04-25
67,Alabama,2021-17,76132,2021-05-02
68,Alabama,2021-18,76559,2021-05-09
69,Alabama,2021-19,77001,2021-05-16
70,Alabama,2021-20,77433,2021-05-23
71,Alabama,2021-21,77918,2021-05-30
72,Alabama,2021-22,78199,2021-06-06
73,Alabama,2021-23,78668,2021-06-13
74,Alabama,2021-24,79009,2021-06-20
75,Alabama,2021-25,79256,2021-06-27
76,Alabama,2021-26,79432,2021-07-04
77,Alabama,2021-27,79648,2021-07-11
78,Alabama,2021-28,79958,2021-07-18
79,Alabama,2021-29,80231,2021-07-25
80,Alabama,2021-30,80524,2021-08-01
81,Alabama,2021-31,80973,2021-08-08
82,Alabama,2021-32,81840,2021-08-15
83,Alabama,2021-33,83157,2021-08-22
84,Alabama,2021-34,84475,2021-08-29
85,Alabama,2021-35,86156,2021-09-05
86,Alabama,2021-36,87569,2021-09-12
87,Alabama,2021-37,89969,2021-09-19
88,Alabama,2021-38,95286,2021-09-26
89,Alabama,2021-39,99563,2021-10-03
90,Alabama,2021-40,102383,2021-10-10
91,Alabama,2021-41,104988,2021-10-17
92,Alabama,2021-42,107036,2021-10-24
93,Alabama,2021-43,108259,2021-10-31
94,Alabama,2021-44,109805,2021-11-07
95,Alabama,2021-45,111313,2021-11-14
96,Alabama,2021-46,112165,2021-11-21
97,Alabama,2021-47,112679,2021-11-28
98,Alabama,2021-48,113007,2021-12-05
99,Alabama,2021-49,113483,2021-12-12
100,Alabama,2021-50,114135,2021-12-19
101,Alabama,2021-51,114692,2021-12-26
102,Alabama,2021-52,98636,2022-01-02
103,Alabama,2022-00,16455,2022-01-02
104,Alabama,2022-01,115661,2022-01-09
105,Alabama,2022-02,116442,2022-01-16
106,Alabama,2022-03,117400,2022-01-23
107,Alabama,2022-04,118351,2022-01-30
108,Alabama,2022-05,120490,2022-02-06
109,Alabama,2022-06,122195,2022-02-13
110,Alabama,2022-07,124144,2022-02-20
111,Alabama,2022-08,126324,2022-02-27
112,Alabama,2022-09,109959,2022-03-06
113,Alaska,2020-03,0,2020-01-26
114,Alaska,2020-04,0,2020-02-02
115,Alaska,2020-05,0,2020-02-09
116,Alaska,2020-06,0,2020-02-16
117,Alaska,2020-07,0,2020-02-23
118,Alaska,2020-08,0,2020-03-01
119,Alaska,2020-09,0,2020-03-08
120,Alaska,2020-10,0,2020-03-15
121,Alaska,2020-11,0,2020-03-22
122,Alaska,2020-12,5,2020-03-29
123,Alaska,2020-13,22,2020-04-05
124,Alaska,2020-14,47,2020-04-12
125,Alaska,2020-15,61,2020-04-19
126,Alaska,2020-16,63,2020-04-26
127,Alaska,2020-17,63,2020-05-03
128,Alaska,2020-18,67,2020-05-10
129,Alaska,2020-19,70,2020-05-17
130,Alaska,2020-20,70,2020-05-24
131,Alaska,2020-21,70,2020-05-31
132,Alaska,2020-22,70,2020-06-07
133,Alaska,2020-23,77,2020-06-14
134,Alaska,2020-24,84,2020-06-21
135,Alaska,2020-25,88,2020-06-28
136,Alaska,2020-26,101,2020-07-05
137,Alaska,2020-27,117,2020-07-12
138,Alaska,2020-28,120,2020-07-19
139,Alaska,2020-29,131,2020-07-26
140,Alaska,2020-30,155,2020-08-02
141,Alaska,2020-31,175,2020-08-09
142,Alaska,2020-32,187,2020-08-16
143,Alaska,2020-33,204,2020-08-23
144,Alaska,2020-34,248,2020-08-30
145,Alaska,2020-35,274,2020-09-06
146,Alaska,2020-36,297,2020-09-13
147,Alaska,2020-37,310,2020-09-20
148,Alaska,2020-38,330,2020-09-27
149,Alaska,2020-39,399,2020-10-04
150,Alaska,2020-40,420,2020-10-11
